,fecha,temp
81927,2019-08-17,28.9
86980,2019-08-18,27.4
92033,2019-08-19,26.5
97086,2019-08-20,23.3
102139,2019-08-21,23.0
107192,2019-08-22,22.8
112245,2019-08-23,24.4
117298,2019-08-24,25.7
122351,2019-08-25,26.0
127404,2019-08-26,21.5
132457,2019-08-27,20.6
137510,2019-08-28,23.5
142563,2019-08-29,24.9
147616,2019-08-30,25.2
152669,2019-08-31,24.8
1080,2019-09-01,25.0
6133,2019-09-02,23.5
11186,2019-09-03,24.7
16239,2019-09-04,25.2
21292,2019-09-05,20.7
26345,2019-09-06,18.0
31398,2019-09-07,19.8
36451,2019-09-08,21.9
41504,2019-09-09,22.3
46557,2019-09-10,16.7
51610,2019-09-11,18.5
56663,2019-09-12,20.7
61716,2019-09-13,18.1
66769,2019-09-14,16.9
71822,2019-09-15,17.8
76875,2019-09-16,19.8
81928,2019-09-17,21.0
86981,2019-09-18,20.7
92034,2019-09-19,21.5
97087,2019-09-20,19.9
102140,2019-09-21,18.1
107193,2019-09-22,18.8
112246,2019-09-23,17.3
117299,2019-09-24,19.4
122352,2019-09-25,19.5
127405,2019-09-26,19.7
132458,2019-09-27,20.9
137511,2019-09-28,19.7
142564,2019-09-29,20.4
147617,2019-09-30,20.8
1081,2019-10-01,19.5
6134,2019-10-02,18.2
11187,2019-10-03,17.0
16240,2019-10-04,19.2
21293,2019-10-05,19.9
26346,2019-10-06,19.9
31399,2019-10-07,20.2
36452,2019-10-08,20.7
41505,2019-10-09,20.8
46558,2019-10-10,18.7
51611,2019-10-11,19.8
56664,2019-10-12,20.7
61717,2019-10-13,18.1
66770,2019-10-14,15.2
71823,2019-10-15,12.4
76876,2019-10-16,12.8
81929,2019-10-17,12.3
86982,2019-10-18,16.3
92035,2019-10-19,14.2
97088,2019-10-20,10.7
102141,2019-10-21,9.3
107194,2019-10-22,8.6
112247,2019-10-23,8.8
117300,2019-10-24,11.7
122353,2019-10-25,12.6
127406,2019-10-26,13.8
132459,2019-10-27,14.5
137512,2019-10-28,16.0
142565,2019-10-29,13.0
147618,2019-10-30,14.5
152671,2019-10-31,17.4
1082,2019-11-01,17.3
6135,2019-11-02,15.7
11188,2019-11-03,13.8
16241,2019-11-04,13.4
21294,2019-11-05,10.6
26347,2019-11-06,10.9
31400,2019-11-07,9.8
36453,2019-11-08,7.8
41506,2019-11-09,7.9
46559,2019-11-10,7.3
51612,2019-11-11,7.8
56665,2019-11-12,8.8
61718,2019-11-13,11.7
66771,2019-11-14,7.4
71824,2019-11-15,6.2
76877,2019-11-16,6.1
81930,2019-11-17,5.8
86983,2019-11-18,6.3
92036,2019-11-19,4.9
97089,2019-11-20,4.4
102142,2019-11-21,7.1
107195,2019-11-22,8.8
112248,2019-11-23,8.9
117301,2019-11-24,8.7
122354,2019-11-25,11.5
127407,2019-11-26,11.0
132460,2019-11-27,11.2
137513,2019-11-28,10.1
142566,2019-11-29,12.6
147619,2019-11-30,11.9
1083,2019-12-01,6.9
6136,2019-12-02,7.0
11189,2019-12-03,5.3
16242,2019-12-04,7.5
21295,2019-12-05,8.7
26348,2019-12-06,8.8
31401,2019-12-07,7.1
36454,2019-12-08,4.8
41507,2019-12-09,7.0
46560,2019-12-10,3.9
51613,2019-12-11,5.3
56666,2019-12-12,6.9
61719,2019-12-13,12.5
66772,2019-12-14,8.6
71825,2019-12-15,8.2
76878,2019-12-16,9.5
81931,2019-12-17,9.0
86984,2019-12-18,6.4
92037,2019-12-19,9.7
97090,2019-12-20,11.9
102143,2019-12-21,13.1
107196,2019-12-22,10.9
112249,2019-12-23,8.6
117302,2019-12-24,7.6
122355,2019-12-25,9.1
127408,2019-12-26,8.8
132461,2019-12-27,6.1
137514,2019-12-28,6.6
142567,2019-12-29,5.8
147620,2019-12-30,5.3
152673,2019-12-31,5.5
2162,2020-01-01,4.8
7215,2020-01-02,4.7
12268,2020-01-03,2.3
17321,2020-01-04,4.8
22374,2020-01-05,4.6
27427,2020-01-06,5.2
32480,2020-01-07,5.4
37533,2020-01-08,6.6
42586,2020-01-09,6.9
47639,2020-01-10,6.1
52692,2020-01-11,4.1
57745,2020-01-12,2.3
62798,2020-01-13,1.8
67851,2020-01-14,2.1
72904,2020-01-15,4.9
77957,2020-01-16,8.4
83010,2020-01-17,8.7
88063,2020-01-18,6.0
93116,2020-01-19,6.0
98169,2020-01-20,3.3
103222,2020-01-21,4.4
108275,2020-01-22,5.8
113328,2020-01-23,5.7
118381,2020-01-24,6.8
123434,2020-01-25,7.0
128487,2020-01-26,6.5
133540,2020-01-27,5.5
138593,2020-01-28,10.2
143646,2020-01-29,11.2
148699,2020-01-30,9.9
153752,2020-01-31,11.6
2163,2020-02-01,13.3
7216,2020-02-02,11.4
12269,2020-02-03,11.5
17322,2020-02-04,10.8
22375,2020-02-05,7.9
27428,2020-02-06,5.7
32481,2020-02-07,7.6
37534,2020-02-08,7.1
42587,2020-02-09,8.1
47640,2020-02-10,9.0
52693,2020-02-11,8.5
57746,2020-02-12,9.4
62799,2020-02-13,10.9
67852,2020-02-14,8.6
72905,2020-02-15,8.8
77958,2020-02-16,9.9
83011,2020-02-17,9.1
88064,2020-02-18,8.1
93117,2020-02-19,7.8
98170,2020-02-20,8.1
103223,2020-02-21,10.2
108276,2020-02-22,11.0
113329,2020-02-23,11.9
118382,2020-02-24,11.9
123435,2020-02-25,10.1
128488,2020-02-26,10.9
133541,2020-02-27,11.9
138594,2020-02-28,11.5
143647,2020-02-29,10.2
2164,2020-03-01,10.3
7217,2020-03-02,9.7
12270,2020-03-03,9.6
17323,2020-03-04,13.5
22376,2020-03-05,11.7
27429,2020-03-06,8.6
32482,2020-03-07,8.7
37535,2020-03-08,9.1
42588,2020-03-09,11.5
47641,2020-03-10,13.6
52694,2020-03-11,15.3
57747,2020-03-12,16.5
62800,2020-03-13,15.7
67853,2020-03-14,14.7
72906,2020-03-15,12.7
77959,2020-03-16,5.9
83012,2020-03-17,9.5
88065,2020-03-18,12.3
93118,2020-03-19,12.2
98171,2020-03-20,10.6
103224,2020-03-21,8.3
108277,2020-03-22,8.5
113330,2020-03-23,9.5
118383,2020-03-24,10.9
123436,2020-03-25,11.4
128489,2020-03-26,9.1
133542,2020-03-27,5.7
138595,2020-03-28,8.5
143648,2020-03-29,11.5
148701,2020-03-30,5.1
153754,2020-03-31,3.6
2165,2020-04-01,9.1
7218,2020-04-02,8.4
12271,2020-04-03,10.4
17324,2020-04-04,10.7
22377,2020-04-05,13.8
27430,2020-04-06,14.6
32483,2020-04-07,13.7
37536,2020-04-08,15.8
42589,2020-04-09,13.1
47642,2020-04-10,11.7
52695,2020-04-11,14.1
57748,2020-04-12,14.7
62801,2020-04-13,12.5
67854,2020-04-14,12.3
72907,2020-04-15,12.0
77960,2020-04-16,13.2
83013,2020-04-17,14.4
88066,2020-04-18,14.5
93119,2020-04-19,13.6
98172,2020-04-20,13.0
103225,2020-04-21,11.4
108278,2020-04-22,14.3
113331,2020-04-23,15.0
118384,2020-04-24,16.4
123437,2020-04-25,16.0
128490,2020-04-26,15.0
133543,2020-04-27,13.2
138596,2020-04-28,12.5
143649,2020-04-29,13.6
148702,2020-04-30,14.2
2166,2020-05-01,15.8
7219,2020-05-02,18.9
12272,2020-05-03,20.3
17325,2020-05-04,21.0
22378,2020-05-05,19.2
27431,2020-05-06,17.1
32484,2020-05-07,19.0
37537,2020-05-08,20.8
42590,2020-05-09,19.0
47643,2020-05-10,14.4
52696,2020-05-11,14.6
57749,2020-05-12,12.5
62802,2020-05-13,13.7
67855,2020-05-14,12.0
72908,2020-05-15,12.8
77961,2020-05-16,13.7
83014,2020-05-17,15.7
88067,2020-05-18,18.7
93120,2020-05-19,20.4
98173,2020-05-20,22.2
103226,2020-05-21,23.0
108279,2020-05-22,24.0
113332,2020-05-23,24.7
118385,2020-05-24,22.9
123438,2020-05-25,21.5
128491,2020-05-26,19.7
133544,2020-05-27,22.0
138597,2020-05-28,22.1
143650,2020-05-29,22.7
148703,2020-05-30,23.5
153756,2020-05-31,21.3
2167,2020-06-01,21.4
7220,2020-06-02,23.0
12273,2020-06-03,21.8
17326,2020-06-04,18.4
22379,2020-06-05,19.7
27432,2020-06-06,21.6
32485,2020-06-07,19.0
